case,subcase_id,n_clusters,n_obs_per_cluster,subcase_label,method,GP_method,chosen_GP_method,chosen,rmw2_est,rmw2_emp_est,rel_rmw2_emp_bound,best_rel_rmw2_emp_bound,rel_to_best_gp_method
2re,2,50,10,"d=50, n_i=10",PACE-BIC-GCV,Direct,FPC,FALSE,0.8504287021012515,0.5335117405973488,1.5940205948402657,1.5066314210526792,1.058003020889162
2re,2,50,10,"d=50, n_i=10",PACE-BIC-GCV,Empirical,FPC,FALSE,0.8038055518844721,0.5335117405973488,1.5066314210526792,1.5066314210526792,1
2re,2,50,10,"d=50, n_i=10",PACE-BIC-GCV,FPC,FPC,TRUE,0.8683195150126916,0.5335117405973488,1.6275546514505448,1.5066314210526792,1.0802606587836705
2re,2,50,10,"d=50, n_i=10",PACE-BIC-default,Direct,FPC,FALSE,0.8493513959225389,0.5335117405973488,1.5920013212297048,1.4991981386379978,1.0619018795447661
2re,2,50,10,"d=50, n_i=10",PACE-BIC-default,Empirical,FPC,FALSE,0.7998398084450637,0.5335117405973488,1.4991981386379978,1.4991981386379978,1
2re,2,50,10,"d=50, n_i=10",PACE-BIC-default,FPC,FPC,TRUE,0.8665295473607763,0.5335117405973488,1.6241995844188217,1.4991981386379978,1.0833788693830597
2re,2,50,10,"d=50, n_i=10",PACE-FVE95-GCV,Direct,FPC,FALSE,0.8504287021012515,0.5335117405973488,1.5940205948402657,1.515717914593391,1.051660457063266
2re,2,50,10,"d=50, n_i=10",PACE-FVE95-GCV,Empirical,FPC,FALSE,0.8086533028693038,0.5335117405973488,1.515717914593391,1.515717914593391,1
2re,2,50,10,"d=50, n_i=10",PACE-FVE95-GCV,FPC,FPC,TRUE,0.8353135442969704,0.5335117405973488,1.5656891512110076,1.515717914593391,1.0329686916915684
2re,2,50,10,"d=50, n_i=10",PACE-FVE95-default,Direct,FPC,FALSE,0.8493513959225389,0.5335117405973488,1.5920013212297048,1.5058396785893082,1.0572183372941228
2re,2,50,10,"d=50, n_i=10",PACE-FVE95-default,Empirical,FPC,FALSE,0.8033831479847342,0.5335117405973488,1.5058396785893082,1.5058396785893082,1
2re,2,50,10,"d=50, n_i=10",PACE-FVE95-default,FPC,FPC,TRUE,0.8337809184777252,0.5335117405973488,1.5628164387613637,1.5058396785893082,1.037837202048914
2re,2,50,10,"d=50, n_i=10",PACE-FVE99-GCV,Direct,FPC,FALSE,0.8504287021012515,0.5335117405973488,1.5940205948402657,1.5066314210526792,1.058003020889162
2re,2,50,10,"d=50, n_i=10",PACE-FVE99-GCV,Empirical,FPC,FALSE,0.8038055518844721,0.5335117405973488,1.5066314210526792,1.5066314210526792,1
2re,2,50,10,"d=50, n_i=10",PACE-FVE99-GCV,FPC,FPC,TRUE,0.8683195150126916,0.5335117405973488,1.6275546514505448,1.5066314210526792,1.0802606587836705
2re,2,50,10,"d=50, n_i=10",PACE-FVE99-default,Direct,FPC,FALSE,0.8493513959225389,0.5335117405973488,1.5920013212297048,1.4991981386379978,1.0619018795447661
2re,2,50,10,"d=50, n_i=10",PACE-FVE99-default,Empirical,FPC,FALSE,0.7998398084450637,0.5335117405973488,1.4991981386379978,1.4991981386379978,1
2re,2,50,10,"d=50, n_i=10",PACE-FVE99-default,FPC,FPC,TRUE,0.8665295473607763,0.5335117405973488,1.6241995844188217,1.4991981386379978,1.0833788693830597
2re,2,50,10,"d=50, n_i=10",PACE-Oracle-GCV,Direct,FPC,FALSE,0.8504287021012515,0.5335117405973488,1.5940205948402657,1.5066314210526792,1.058003020889162
2re,2,50,10,"d=50, n_i=10",PACE-Oracle-GCV,Empirical,FPC,FALSE,0.8038055518844721,0.5335117405973488,1.5066314210526792,1.5066314210526792,1
2re,2,50,10,"d=50, n_i=10",PACE-Oracle-GCV,FPC,FPC,TRUE,0.8683195150126916,0.5335117405973488,1.6275546514505448,1.5066314210526792,1.0802606587836705
2re,2,50,10,"d=50, n_i=10",PACE-Oracle-default,Direct,FPC,FALSE,0.8493513959225389,0.5335117405973488,1.5920013212297048,1.4991981386379978,1.0619018795447661
2re,2,50,10,"d=50, n_i=10",PACE-Oracle-default,Empirical,FPC,FALSE,0.7998398084450637,0.5335117405973488,1.4991981386379978,1.4991981386379978,1
2re,2,50,10,"d=50, n_i=10",PACE-Oracle-default,FPC,FPC,TRUE,0.8665295473607763,0.5335117405973488,1.6241995844188217,1.4991981386379978,1.0833788693830597
2re,2,50,10,"d=50, n_i=10",bayesFPCA-Oracle,Empirical,FPC,FALSE,0.5971211538142658,0.5335117405973488,1.1192277664699495,0.8430261952775597,1.327631066198901
2re,2,50,10,"d=50, n_i=10",bayesFPCA-Oracle,FPC,FPC,TRUE,0.4497643728116914,0.5335117405973488,0.8430261952775597,0.8430261952775597,1
2re,2,50,10,"d=50, n_i=10",bayesFPCA-PVE95-L15,Empirical,FPC,FALSE,0.6456805545486741,0.43297217288038986,1.4912749478868836,1.2944947160212967,1.1520131595982115
2re,2,50,10,"d=50, n_i=10",bayesFPCA-PVE95-L15,FPC,FPC,TRUE,0.560480189977924,0.43297217288038986,1.2944947160212967,1.2944947160212967,1
2re,2,50,10,"d=50, n_i=10",bayesFPCA-PVE99-L15,Empirical,FPC,FALSE,0.41802977683388143,0.43297217288038986,0.9654887843089253,0.6275246044512439,1.5385672170627052
2re,2,50,10,"d=50, n_i=10",bayesFPCA-PVE99-L15,FPC,FPC,TRUE,0.27170069152516224,0.43297217288038986,0.6275246044512439,0.6275246044512439,1
2re,3,200,5,"d=200, n_i=5",AdaStruMM,Empirical,FPC,FALSE,0.3518433497003198,0.34488843352305304,1.0201656985310348,1.0201656985310348,1
2re,3,200,5,"d=200, n_i=5",AdaStruMM,EmpiricalCorrected,FPC,FALSE,0.35215314357235106,0.34488843352305304,1.0210639422583374,1.0201656985310348,1.0008804880703164
2re,3,200,5,"d=200, n_i=5",AdaStruMM,FPC,FPC,TRUE,0.3929623604992744,0.34488843352305304,1.139389791896306,1.0201656985310348,1.1168673809920735
2re,3,200,5,"d=200, n_i=5",Di-95,Empirical,Empirical,TRUE,0.5828626074962406,0.34488843352305304,1.6900033484517565,1.6900033484517565,1
2re,3,200,5,"d=200, n_i=5",Di-99,Empirical,Empirical,TRUE,144.8102813327203,0.34488843352305304,419.8757257628963,419.8757257628963,1
2re,3,200,5,"d=200, n_i=5",Di-Oracle,Empirical,Empirical,TRUE,0.5828626074962406,0.34488843352305304,1.6900033484517565,1.6900033484517565,1
2re,3,200,5,"d=200, n_i=5",FACE-95,Direct,FPC,FALSE,0.6156104762286841,0.34488843352305304,1.7849554127988334,1.4468063491429353,1.2337210255237077
2re,3,200,5,"d=200, n_i=5",FACE-95,Empirical,FPC,FALSE,0.49898677536711433,0.34488843352305304,1.4468063491429353,1.4468063491429353,1
2re,3,200,5,"d=200, n_i=5",FACE-95,FPC,FPC,TRUE,0.529245027120705,0.34488843352305304,1.534539798028133,1.4468063491429353,1.0606393861467152
2re,3,200,5,"d=200, n_i=5",FACE-99,Direct,FPC,FALSE,0.6156104762286841,0.34488843352305304,1.7849554127988334,1.4468063491429353,1.2337210255237077
2re,3,200,5,"d=200, n_i=5",FACE-99,Empirical,FPC,FALSE,0.49898677536711433,0.34488843352305304,1.4468063491429353,1.4468063491429353,1
2re,3,200,5,"d=200, n_i=5",FACE-99,FPC,FPC,TRUE,0.6123494582178935,0.34488843352305304,1.7755001290206007,1.4468063491429353,1.227185746089916
2re,3,200,5,"d=200, n_i=5",HGAM-GS,Empirical,Empirical,TRUE,0.6637778515774644,0.34488843352305304,1.9246161571640417,1.9246161571640417,1
2re,3,200,5,"d=200, n_i=5",Local-GAM,Empirical,Empirical,TRUE,1.0134338912763126,0.34488843352305304,2.938439775796577,2.938439775796577,1
2re,3,200,5,"d=200, n_i=5",Oracle-GP,Individual,Individual,TRUE,NA,0.34488843352305304,NA,NA,NA
2re,3,200,5,"d=200, n_i=5",PACE-AIC-GCV,Direct,FPC,FALSE,0.6630923752254984,0.34488843352305304,1.922628626457477,1.922628626457477,1
2re,3,200,5,"d=200, n_i=5",PACE-AIC-GCV,Empirical,FPC,FALSE,0.683954177982837,0.34488843352305304,1.9831171808118062,1.922628626457477,1.031461382360556
2re,3,200,5,"d=200, n_i=5",PACE-AIC-GCV,FPC,FPC,TRUE,0.6902210009567165,0.34488843352305304,2.0012877611060294,1.922628626457477,1.0409122872540835
2re,3,200,5,"d=200, n_i=5",PACE-AIC-default,Direct,FPC,FALSE,0.6925301593206491,0.34488843352305304,2.0079831389137004,1.9279508932478024,1.0415115581761922
2re,3,200,5,"d=200, n_i=5",PACE-AIC-default,Empirical,FPC,FALSE,0.6649279634816054,0.34488843352305304,1.9279508932478024,1.9279508932478024,1
2re,3,200,5,"d=200, n_i=5",PACE-AIC-default,FPC,FPC,TRUE,0.6776981524855985,0.34488843352305304,1.964977907675468,1.9279508932478024,1.0192053721686294
2re,3,200,5,"d=200, n_i=5",PACE-BIC-GCV,Direct,FPC,FALSE,0.6630923752254984,0.34488843352305304,1.922628626457477,1.922628626457477,1
2re,3,200,5,"d=200, n_i=5",PACE-BIC-GCV,Empirical,FPC,FALSE,0.683954177982837,0.34488843352305304,1.9831171808118062,1.922628626457477,1.031461382360556
2re,3,200,5,"d=200, n_i=5",PACE-BIC-GCV,FPC,FPC,TRUE,0.6902210009567165,0.34488843352305304,2.0012877611060294,1.922628626457477,1.0409122872540835
2re,3,200,5,"d=200, n_i=5",PACE-BIC-default,Direct,FPC,FALSE,0.6925301593206491,0.34488843352305304,2.0079831389137004,1.9279508932478024,1.0415115581761922
2re,3,200,5,"d=200, n_i=5",PACE-BIC-default,Empirical,FPC,FALSE,0.6649279634816054,0.34488843352305304,1.9279508932478024,1.9279508932478024,1
2re,3,200,5,"d=200, n_i=5",PACE-BIC-default,FPC,FPC,TRUE,0.6776981524855985,0.34488843352305304,1.964977907675468,1.9279508932478024,1.0192053721686294
2re,3,200,5,"d=200, n_i=5",PACE-FVE95-GCV,Direct,FPC,FALSE,0.6630923752254984,0.34488843352305304,1.922628626457477,1.922628626457477,1
2re,3,200,5,"d=200, n_i=5",PACE-FVE95-GCV,Empirical,FPC,FALSE,0.7244356980366636,0.34488843352305304,2.1004928771791964,1.922628626457477,1.0925109760013516
2re,3,200,5,"d=200, n_i=5",PACE-FVE95-GCV,FPC,FPC,TRUE,0.722260621445428,0.34488843352305304,2.0941862679113323,1.922628626457477,1.0892307745203802
2re,3,200,5,"d=200, n_i=5",PACE-FVE95-default,Direct,FPC,FALSE,0.6925301593206491,0.34488843352305304,2.0079831389137004,2.0079831389137004,1
2re,3,200,5,"d=200, n_i=5",PACE-FVE95-default,Empirical,FPC,FALSE,0.7085115341575307,0.34488843352305304,2.054320949299601,2.0079831389137004,1.0230767925725555
2re,3,200,5,"d=200, n_i=5",PACE-FVE95-default,FPC,FPC,TRUE,0.7156241667601979,0.34488843352305304,2.074943944770952,2.0079831389137004,1.0333472948848947
2re,3,200,5,"d=200, n_i=5",PACE-FVE99-GCV,Direct,FPC,FALSE,0.6630923752254984,0.34488843352305304,1.922628626457477,1.6804875880333654,1.144089751181967
2re,3,200,5,"d=200, n_i=5",PACE-FVE99-GCV,Empirical,FPC,FALSE,0.5795807317917611,0.34488843352305304,1.6804875880333654,1.6804875880333654,1
2re,3,200,5,"d=200, n_i=5",PACE-FVE99-GCV,FPC,FPC,TRUE,0.6394178261553594,0.34488843352305304,1.8539845468973066,1.6804875880333654,1.103242035287497
2re,3,200,5,"d=200, n_i=5",PACE-FVE99-default,Direct,FPC,FALSE,0.6925301593206491,0.34488843352305304,2.0079831389137004,1.6510681681318484,1.2161721591336196
2re,3,200,5,"d=200, n_i=5",PACE-FVE99-default,Empirical,FPC,FALSE,0.5694343141467699,0.34488843352305304,1.6510681681318484,1.6510681681318484,1
2re,3,200,5,"d=200, n_i=5",PACE-FVE99-default,FPC,FPC,TRUE,0.6603736193876476,0.34488843352305304,1.9147456255401123,1.6510681681318484,1.1597011331801095
2re,3,200,5,"d=200, n_i=5",PACE-Oracle-GCV,Direct,FPC,FALSE,0.6630923752254984,0.34488843352305304,1.922628626457477,1.6804875880333654,1.144089751181967
2re,3,200,5,"d=200, n_i=5",PACE-Oracle-GCV,Empirical,FPC,FALSE,0.5795807317917611,0.34488843352305304,1.6804875880333654,1.6804875880333654,1
2re,3,200,5,"d=200, n_i=5",PACE-Oracle-GCV,FPC,FPC,TRUE,0.6394178261553594,0.34488843352305304,1.8539845468973066,1.6804875880333654,1.103242035287497
2re,3,200,5,"d=200, n_i=5",PACE-Oracle-default,Direct,FPC,FALSE,0.6925301593206491,0.34488843352305304,2.0079831389137004,1.6510681681318484,1.2161721591336196
2re,3,200,5,"d=200, n_i=5",PACE-Oracle-default,Empirical,FPC,FALSE,0.5694343141467699,0.34488843352305304,1.6510681681318484,1.6510681681318484,1
2re,3,200,5,"d=200, n_i=5",PACE-Oracle-default,FPC,FPC,TRUE,0.6603736193876476,0.34488843352305304,1.9147456255401123,1.6510681681318484,1.1597011331801095
2re,3,200,5,"d=200, n_i=5",bayesFPCA-Oracle,Empirical,FPC,FALSE,0.4425375731663985,0.34488843352305304,1.2831325441849544,1.2445144128701957,1.031030682260798
2re,3,200,5,"d=200, n_i=5",bayesFPCA-Oracle,FPC,FPC,TRUE,0.42921862635166386,0.34488843352305304,1.2445144128701957,1.2445144128701957,1
2re,3,200,5,"d=200, n_i=5",bayesFPCA-PVE95-L15,Empirical,FPC,FALSE,0.8090412840076052,0.34488843352305304,2.3458057892612025,2.3458057892612025,1
2re,3,200,5,"d=200, n_i=5",bayesFPCA-PVE95-L15,FPC,FPC,TRUE,0.8208374706868462,0.34488843352305304,2.3800086952813966,2.3458057892612025,1.014580450852654
2re,3,200,5,"d=200, n_i=5",bayesFPCA-PVE99-L15,Empirical,FPC,FALSE,0.8090412840076052,0.34488843352305304,2.3458057892612025,2.3458057892612025,1
2re,3,200,5,"d=200, n_i=5",bayesFPCA-PVE99-L15,FPC,FPC,TRUE,0.8208374706868462,0.34488843352305304,2.3800086952813966,2.3458057892612025,1.014580450852654
2re,4,500,2,"d=500, n_i=2",AdaStruMM,Empirical,FPC,FALSE,0.20984442473286946,0.19563960158628635,1.0726070950431685,0.9958333522494474,1.0770949703786281
2re,4,500,2,"d=500, n_i=2",AdaStruMM,EmpiricalCorrected,FPC,FALSE,0.19482444028041784,0.19563960158628635,0.9958333522494474,0.9958333522494474,1
2re,4,500,2,"d=500, n_i=2",AdaStruMM,FPC,FPC,TRUE,0.21820176716418138,0.19563960158628635,1.1153251458035915,0.9958333522494474,1.119991756938276
2re,4,500,2,"d=500, n_i=2",Di-95,Empirical,Empirical,TRUE,10.75471549817645,0.2129954249301537,50.492706600168425,50.492706600168425,1
2re,4,500,2,"d=500, n_i=2",Di-Oracle,Empirical,Empirical,TRUE,21.85230929755218,0.19563960158628635,111.6967583268885,111.6967583268885,1
2re,4,500,2,"d=500, n_i=2",FACE-95,Direct,FPC,FALSE,0.9047566314143322,0.19563960158628635,4.6246088423733145,3.1682747044698316,1.4596615741207266
