method,GP_method,chosen_GP_method,chosen,n_cells,n_cases,geometric_mean_rel_rmw2_emp_bound,mean_rel_rmw2_emp_bound,max_rel_rmw2_emp_bound,geometric_mean_rel_to_best,mean_rel_to_best,max_rel_to_best,n_best,prop_within_05,prop_within_10
PACE-FVE99-default,Empirical,FPC,FALSE,15,3,2.802612158740324,3.3776763768533304,10.77011279406422,1.051415194741674,1.0578061137191344,1.4742505142306737,11,0.7333333333333333,0.8
PACE-FVE99-default,Direct,FPC,FALSE,15,3,3.144475795899061,4.057458935315587,15.757092917407155,1.1796671976159878,1.2032497028981992,2.035420099278084,2,0.4,0.4666666666666667
PACE-FVE99-default,FPC,FPC,TRUE,15,3,3.2054016134154946,4.112036768377114,15.90602226651876,1.2025238494324237,1.2282179997407199,2.094402992630359,2,0.3333333333333333,0.4
PACE-Oracle-GCV,FPC,FPC,TRUE,10,2,2.4806104207602453,2.578860530594497,4.135448266877176,1.105588923759583,1.1204222549173386,1.6606082282216346,3,0.6,0.7
PACE-Oracle-GCV,Direct,FPC,FALSE,10,2,2.5408240077459774,2.647312265171246,4.111964783703559,1.1324256548617837,1.1562457597030618,1.8299185637972297,3,0.5,0.7
PACE-Oracle-GCV,Empirical,FPC,FALSE,10,2,2.544339567734676,2.871321100495461,5.961214514177289,1.1339925128221429,1.177118998116199,2.3119929749674233,4,0.7,0.7
PACE-Oracle-default,Empirical,FPC,FALSE,10,2,2.611834546405358,2.948571813618403,5.888445777950241,1.0260587704089597,1.0280289808074958,1.2211488223314286,8,0.8,0.9
PACE-Oracle-default,FPC,FPC,TRUE,10,2,2.78883109477785,3.065583384455725,4.86838318675379,1.0955918352195373,1.0999894406826036,1.2926569779930883,2,0.5,0.6
PACE-Oracle-default,Direct,FPC,FALSE,10,2,2.8657584821240767,3.1486216653358827,5.002505691028156,1.1258127466397787,1.1326174988348459,1.352505085141252,0,0.4,0.5
SITAR,Empirical,Empirical,TRUE,4,1,2.415452486888662,8.997681454145766,32.958238643048126,1,1,1,4,1,1
bayesFPCA-Oracle,FPC,FPC,TRUE,10,2,1.542850023348356,1.7559857751678112,3.802718660776503,1.012762702615247,1.01309376726104,1.0801214796566248,7,0.9,1
bayesFPCA-Oracle,Empirical,FPC,FALSE,10,2,1.6433053258045947,1.810965237880023,3.7875165716159604,1.078703903683396,1.0872234180241716,1.4105433249369923,3,0.7,0.8
bayesFPCA-PVE95-L15,FPC,FPC,TRUE,15,3,3.408323952992056,3.8410772853126263,7.040655422493045,1.001687524290599,1.001694815181373,1.014580450852654,11,1,1
bayesFPCA-PVE95-L15,Empirical,FPC,FALSE,15,3,3.4638051540161903,3.869903884330119,7.044466565533329,1.0179931418507335,1.0186441285168208,1.1520131595982115,4,0.9333333333333333,0.9333333333333333
bayesFPCA-PVE99-L15,FPC,FPC,TRUE,15,3,3.00495219225603,3.563775483125404,7.040655422493045,1.001687524290599,1.001694815181373,1.014580450852654,11,1,1
bayesFPCA-PVE99-L15,Empirical,FPC,FALSE,15,3,3.1241953679199748,3.6052479329162326,7.044466565533329,1.0414367095612274,1.0480213191562482,1.5385672170627052,4,0.8666666666666667,0.9333333333333333
